filepath,title
/home/radiance/ego4d_dealt_data/frame_output_dir_1/0928af96-a3fd-4930-9bc1-2fa43d01bb53_frame_439.jpg, C puts a plant in a pot on the window shelf
/home/radiance/ego4d_dealt_data/frame_output_dir_1/ffa40e1e-1736-40e3-b194-68b6c2709ff8_frame_17.jpg, C adjusts the crochet with both hands
/home/radiance/ego4d_dealt_data/frame_output_dir_1/e6b7692d-5e35-4524-8d2a-385475b95806_frame_356.jpg, person X crosses the road
/home/radiance/ego4d_dealt_data/frame_output_dir_1/a9a621c4-1fb3-4748-9e5a-de50b495805f_frame_346.jpg, C wipes the paint brush on her right hand in the flat plastic of mixed paint.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/5d8d76ac-f873-465f-99c7-3bc8895ad7f0_frame_184.jpg, C turns to the side
/home/radiance/ego4d_dealt_data/frame_output_dir_1/d75c43bc-7f7b-4852-92df-612bfdf5a79c_frame_99.jpg, C unhooks the thread on the wall
/home/radiance/ego4d_dealt_data/frame_output_dir_1/9f8d9232-a78e-4e14-9a0f-944a325efa19_frame_31.jpg, C walks around
/home/radiance/ego4d_dealt_data/frame_output_dir_1/045451d6-2916-4c07-8e47-7cfdaa579086_frame_792.jpg, The boy A picks up cards from the table with his left hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/e5efcacd-658e-4b57-b48c-551156a7cb23_frame_1215.jpg, C spreads the paper with both hands.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/d98ef223-c7ce-421b-bddd-8210845a6613_frame_153.jpg, C gives the container to man B
/home/radiance/ego4d_dealt_data/frame_output_dir_1/465282ac-5fea-4571-8328-665a693b97cd_frame_56.jpg, C drags the nylon from the plank.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/603a427f-9191-4ca4-a1b0-dd3c5e7fda70_frame_49.jpg, C scans the cabinet.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/14aeb4ad-3392-4f09-9959-11f8a0c4bd7d_frame_101.jpg, C takes the white paper from the tray
/home/radiance/ego4d_dealt_data/frame_output_dir_1/c41806a7-231e-494f-8e0b-f72587269f79_frame_1833.jpg, C drops her eating chopsticks on plate on table
/home/radiance/ego4d_dealt_data/frame_output_dir_1/f161ecef-4337-4d50-8d71-41ed1ea1982d_frame_277.jpg, C cuts grass with the sickle in his right hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/f9017454-6b47-48b3-ba26-8cd5c9a30b53_frame_58.jpg, C digs sand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/0db415df-aa32-48e9-b63a-fd2dec01e378_frame_197.jpg, C stares at a painting
/home/radiance/ego4d_dealt_data/frame_output_dir_1/83d261ff-9459-4d33-8716-8a172cbb67a2_frame_140.jpg, C Adds filler on a ceiling using a hawk
/home/radiance/ego4d_dealt_data/frame_output_dir_1/9a30454f-b06b-45b7-a8a0-90d3f4ea2eb1_frame_728.jpg, C holds the leaf together with the pins in his right hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/025c24db-1ab3-462e-888a-3598fd777ee2_frame_708.jpg, C looks at the phone.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/5825062f-4827-407c-bbd3-91ca010d25c2_frame_194.jpg, C looks around.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/2b0086a9-6eba-45de-9ad7-e3dc5f533031_frame_121.jpg, C holds a tile
/home/radiance/ego4d_dealt_data/frame_output_dir_1/c19c69ba-ac3a-4ba9-82ea-d09e77876f7e_frame_177.jpg, C puts vegetables into the pot
/home/radiance/ego4d_dealt_data/frame_output_dir_1/dd7fed4a-ae54-40b4-96ea-855365b87697_frame_127.jpg, C places the cards on the table with his right hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/538c2f0a-f89e-47b5-b012-047a1b98de27_frame_1250.jpg, C closes the oven
/home/radiance/ego4d_dealt_data/frame_output_dir_1/fac12c04-2d7a-4d3a-91da-f3bdbd15af89_frame_35.jpg, C applies the green powder on the drawing on the floor with her right hand
/home/radiance/ego4d_dealt_data/frame_output_dir_1/fe798a1c-858b-4ab6-9c34-59bfe3cc6794_frame_656.jpg, C dips a paint brush in the watercolor
/home/radiance/ego4d_dealt_data/frame_output_dir_1/968139e2-987e-4615-a2d4-fa2e683bae8a_frame_716.jpg, C talks with someone
/home/radiance/ego4d_dealt_data/frame_output_dir_1/be8889c4-114f-4cb2-9e2c-fef576dbb00d_frame_93.jpg, c pours the cooking oil into the pan
/home/radiance/ego4d_dealt_data/frame_output_dir_1/cb307bf2-d795-4615-8a0c-3f8f7f6800b7_frame_376.jpg, C checks on the watch
/home/radiance/ego4d_dealt_data/frame_output_dir_1/9e9c5b05-c7d4-450d-9850-e6ae83caa9a5_frame_326.jpg, C peels the bottle gourd into the chopping board with the knife
/home/radiance/ego4d_dealt_data/frame_output_dir_1/c50fc6fd-8dd1-4666-b0eb-17dcea8c7a10_frame_166.jpg, C adjusts the tire
/home/radiance/ego4d_dealt_data/frame_output_dir_1/5f6f87ea-e1c3-4868-bb60-22c9e874d056_frame_80.jpg, The man W moves cards on the table with his left hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/e47119be-41e8-4fda-94cb-e59aabb2329f_frame_48.jpg, C walks closer to art
/home/radiance/ego4d_dealt_data/frame_output_dir_1/06546c45-e0f8-4d75-a184-39e19552c6b7_frame_148.jpg, C drops the bucket on the ground.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/9e88251a-1468-45f8-b54e-669832057792_frame_32.jpg, C smoothens the paper tape on the paper on the table with his left hand
/home/radiance/ego4d_dealt_data/frame_output_dir_1/e58207f1-84ec-424b-a997-ff64a57eb13b_frame_564.jpg, C uses the phone
/home/radiance/ego4d_dealt_data/frame_output_dir_1/18bc4db3-f5a5-4be3-97b6-a0ef947b7095_frame_59.jpg, C picks up the screwdriver on the table with his right hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/5aea6ce4-f9d2-4fd1-953f-a82512849419_frame_204.jpg, C turns to the side
/home/radiance/ego4d_dealt_data/frame_output_dir_1/71aa4945-0402-453c-b66f-6550cdc37aa8_frame_274.jpg, C steps backwards.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/5afd7421-fb6b-4c65-a09a-716f79a7a935_frame_332.jpg, C holds the broom with his hands
/home/radiance/ego4d_dealt_data/frame_output_dir_1/25b86bdb-b2ca-4d25-b139-2d203cc48979_frame_816.jpg, C shakes the container with her right hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/d2495931-34b0-4287-9e1a-f501c50580de_frame_989.jpg, C closes the cabinet section.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/9d965c16-0014-45e5-b37b-50a786971470_frame_2243.jpg, the man Z operates the mobile phone with both hands.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/79b9f7e3-f1ce-4838-9887-1deeba08e600_frame_650.jpg, C drops the fineliner drawing pen on the table
/home/radiance/ego4d_dealt_data/frame_output_dir_1/9cce57e5-456b-47b8-8386-0882bd840a47_frame_348.jpg, C picks egg trays from the rack
/home/radiance/ego4d_dealt_data/frame_output_dir_1/4de25e28-5a34-4fbe-bc83-200d513b4d9a_frame_186.jpg, person A moves the card on the hand
/home/radiance/ego4d_dealt_data/frame_output_dir_1/408acdc8-c286-482b-91ba-3fcda24fedc3_frame_631.jpg, C removes her right hand from the spatula on the piece of naan.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/b8a893ca-38af-4d7e-ab27-4bd40e99dfc8_frame_120.jpg, C removes his right hand from the paint wall
/home/radiance/ego4d_dealt_data/frame_output_dir_1/3834d222-855b-4a13-aee8-0009b35bf56a_frame_190.jpg, C stretches the hand
/home/radiance/ego4d_dealt_data/frame_output_dir_1/d73bb655-36f4-4718-99e5-04ea7e740be1_frame_78.jpg, The woman C eats the cookie in her right hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/9d209484-b083-4731-b5dc-d3af3df09292_frame_173.jpg, C flips a page of the book to the left with her right hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/09bfaba7-450e-4141-9fe9-7db3a6b2c604_frame_44.jpg, C touches the crochet cloth
/home/radiance/ego4d_dealt_data/frame_output_dir_1/68150eb1-47cd-4617-953a-0afdf67b2adb_frame_66.jpg, C Walks around a garden
/home/radiance/ego4d_dealt_data/frame_output_dir_1/7b92d762-13b7-4b53-9ca9-62071f4586b2_frame_160.jpg, C carves on the craft with the clay pen in her right hand
/home/radiance/ego4d_dealt_data/frame_output_dir_1/2d13c92e-f43f-40f2-b603-cb749e5fee70_frame_318.jpg, C hold the straight pipe with both hands.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/f6fea609-23c4-431c-8ac2-484f334a3a83_frame_37.jpg, C folds the cloth
/home/radiance/ego4d_dealt_data/frame_output_dir_1/d9db7166-e5fe-4ce5-85eb-0c437c4ddf32_frame_456.jpg, C puts workpiece cable on the steel
/home/radiance/ego4d_dealt_data/frame_output_dir_1/09f9118e-7141-471e-a49e-1e042104961c_frame_42.jpg, C crochets a piece of cloth
/home/radiance/ego4d_dealt_data/frame_output_dir_1/2ebcbb25-b099-44fa-8e8d-94d574413db9_frame_89.jpg, C closes the locker with her right hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/f9a98d72-b5f1-4840-9093-d351586269c0_frame_502.jpg, C puts the packet of baking flour on the sink
/home/radiance/ego4d_dealt_data/frame_output_dir_1/2270f91a-6ef7-47ff-a743-cead1744fa74_frame_967.jpg, the man Y picks up a chopstick from the dining table
/home/radiance/ego4d_dealt_data/frame_output_dir_1/2bd1593c-ae88-417e-827f-3997201da229_frame_202.jpg, C picks the serving spoon from the bowl of batter with her right hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/45199793-36b2-45e0-8649-2515afaffa3a_frame_573.jpg, C moves the brick mold closer to the bricks aligned on the ground.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/600e392c-4be6-4b8b-bef8-e789ce3d8915_frame_2410.jpg, The woman F picks the spoon in the bowl on the table with her right hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/1f388802-1efb-4cb2-82ed-65b6d29175cd_frame_134.jpg, C looks around
/home/radiance/ego4d_dealt_data/frame_output_dir_1/7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_frame_856.jpg, C picks a plate with her right hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/4930cced-9b84-464e-88ce-3990188efed6_frame_238.jpg, C picks up a plate from the slab with her right hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/18f5b7b3-8d27-467f-9b48-1d8abe4a643f_frame_132.jpg, C continues tracing the drawing on the paper with the craft knife
/home/radiance/ego4d_dealt_data/frame_output_dir_1/fd2ae8b4-b683-4c4b-935c-78b4dadbdbf8_frame_207.jpg, C puts her right hand into the drawer of the chair
/home/radiance/ego4d_dealt_data/frame_output_dir_1/02cf2e59-26be-43be-a4d9-7d6cbcfd0898_frame_1184.jpg, lady Y takes card
/home/radiance/ego4d_dealt_data/frame_output_dir_1/181cfd16-4777-43a3-a0b2-136b4a1cc348_frame_64.jpg, a lady I stands besides J
/home/radiance/ego4d_dealt_data/frame_output_dir_1/741c48e4-b8fb-400e-912e-73130bd00c3a_frame_134.jpg, C operates phone
/home/radiance/ego4d_dealt_data/frame_output_dir_1/c07e1c6f-3bf8-4d6b-9272-87c4b98f8336_frame_116.jpg, C places the piece of clamshell plastic in his left hand on the table.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/cf3956a7-8cc6-4a99-8770-71a15c7e69c7_frame_65.jpg, C rubs her palms together.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/917aacbe-a00a-4c94-8141-8e5a2949c95a_frame_536.jpg, C picks up two sticks from the table saw with his two hands
/home/radiance/ego4d_dealt_data/frame_output_dir_1/ece7309f-9e11-4cd0-93e7-e5bcf38eb78b_frame_262.jpg, C puts the knife on the door of the kitchen cabinet
/home/radiance/ego4d_dealt_data/frame_output_dir_1/d2495931-34b0-4287-9e1a-f501c50580de_frame_899.jpg, C pulls out a rack from the dish washer
/home/radiance/ego4d_dealt_data/frame_output_dir_1/fd06094f-8e2f-414c-9f66-3c99cd14a151_frame_83.jpg, C opens a window
/home/radiance/ego4d_dealt_data/frame_output_dir_1/2d076447-17ad-47ab-b846-7eab0bf79090_frame_200.jpg, person X holds a cigarette in his hand
/home/radiance/ego4d_dealt_data/frame_output_dir_1/a1cc6952-7ffe-45e3-9c40-6fdfa331b857_frame_136.jpg, C c breathes
/home/radiance/ego4d_dealt_data/frame_output_dir_1/d3279f4f-eea5-448f-a930-aafac6b668ac_frame_2457.jpg, C slams the scoop of mortar into the brickmould.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/2eb4b0bf-624d-44e9-8a42-8374c9c623f0_frame_454.jpg, C puts the brake caliper bracket on the brake disc
/home/radiance/ego4d_dealt_data/frame_output_dir_1/76942e4e-f8de-4b7b-857c-adcc7d2c7872_frame_4.jpg, C adjusts cassava on the chopping board.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/5a2392a7-4efb-4601-897c-cb23fc21b707_frame_132.jpg, C holds the stud
/home/radiance/ego4d_dealt_data/frame_output_dir_1/48bba3dc-4134-43e9-b30c-20add38bfcc6_frame_107.jpg, C picks clay
/home/radiance/ego4d_dealt_data/frame_output_dir_1/5c9b85ea-24a9-4bfd-8ac2-4ca6f9090231_frame_934.jpg, C looks around
/home/radiance/ego4d_dealt_data/frame_output_dir_1/d89ddccf-4845-4f01-8de2-23cde70c0a45_frame_182.jpg, C wipes the camera
/home/radiance/ego4d_dealt_data/frame_output_dir_1/0de39e75-fb19-47d4-818d-fff874b05ab9_frame_39.jpg, C picks a dustpan
/home/radiance/ego4d_dealt_data/frame_output_dir_1/7e80931a-2067-419d-8f9e-2aff41dd330c_frame_112.jpg, C opens the tap
/home/radiance/ego4d_dealt_data/frame_output_dir_1/95e3cefa-e6a2-4c1e-831d-616a86ff177b_frame_938.jpg, C puts the dough from the table with his left hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/9ab7a4bd-533a-40da-9515-eb46f9354cbb_frame_362.jpg, man Y touches the face
/home/radiance/ego4d_dealt_data/frame_output_dir_1/f9d1eb31-efff-4994-b8ab-8d4f7164c312_frame_42.jpg, C presses a button on the laptop in front of her.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/258a7d18-4e66-4e3a-9fa0-f8daf7315a6d_frame_777.jpg, The man Y picks a cup from the wall with his right hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/27049008-0644-4899-9ade-27868c873c94_frame_153.jpg, C passes the stick through the bit on the fence of a table
/home/radiance/ego4d_dealt_data/frame_output_dir_1/1ce16a97-f614-4660-b21c-4205b33c8bab_frame_675.jpg, C looks at   in the kitchen
/home/radiance/ego4d_dealt_data/frame_output_dir_1/029eeb9a-8853-48a4-a1dc-e8868b58adf3_frame_32.jpg, C screws the nut on a bolt on the tire with his right hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/8764c7c3-26aa-4390-9ba3-ff4de3294f45_frame_908.jpg, C pushes the miter gauge with his right hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/1f36976c-e0fb-4d4b-b029-1b1be0167673_frame_79.jpg, C touches a book
/home/radiance/ego4d_dealt_data/frame_output_dir_1/146a4b4b-96a5-4d8f-a5b1-78dbb6ee5edf_frame_3047.jpg, C moves the piece of waffle on the plate with the knife in her right hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/2e04b2bb-e5d3-4f66-a16e-f7756e14e749_frame_792.jpg, C looks a round
/home/radiance/ego4d_dealt_data/frame_output_dir_1/d3f76c88-5996-4da0-8b8f-6c1b8f85a4d8_frame_1310.jpg, C touches the engine
/home/radiance/ego4d_dealt_data/frame_output_dir_1/b9ce0e34-7dbd-4b7b-96d7-4277507d4a4f_frame_358.jpg, C greases the pliers
/home/radiance/ego4d_dealt_data/frame_output_dir_1/9f5b658c-1958-4fa0-b67d-3b365c49b919_frame_281.jpg, C takes the towel
/home/radiance/ego4d_dealt_data/frame_output_dir_1/c4a0f468-d9c9-425b-b734-7b23e7af589b_frame_798.jpg, the woman G points her left hand to man J.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/1f24a3cf-b5b4-4c8a-abcf-fcee43ec4a0a_frame_354.jpg, C adjusts the glass of oil with her right hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/8dcbac26-8ea1-4b55-b269-882eda459ee1_frame_2107.jpg, C dips the dough in the plate of sugar on the table with both hands.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/25601160-c28d-4fe0-a6d7-fdf8f61b62e2_frame_9.jpg, C opens the pack
/home/radiance/ego4d_dealt_data/frame_output_dir_1/5b4db88b-5cf5-4d9a-9eef-dde2be7f5c46_frame_95.jpg, C carries the bucket to another part of the farm with his left hand
/home/radiance/ego4d_dealt_data/frame_output_dir_1/cc681f7d-125b-43ec-9976-48d52c71cae7_frame_315.jpg, C puts the pencil in his pocket
/home/radiance/ego4d_dealt_data/frame_output_dir_1/ea706b45-a60f-462f-8fab-66cab1126989_frame_276.jpg, C pulls the fork slightly.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/600e392c-4be6-4b8b-bef8-e789ce3d8915_frame_2539.jpg, The waitress H walks past the group of people at the dining table.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/79c9f644-c32d-4f4d-b66b-a865d5a8b740_frame_175.jpg, C pulls the chair
/home/radiance/ego4d_dealt_data/frame_output_dir_1/f372cf01-3af2-4a3d-bce9-11b92d75f402_frame_12.jpg, C looks at bakery grill
/home/radiance/ego4d_dealt_data/frame_output_dir_1/4abd8edc-4751-4a47-9808-696d960b7557_frame_577.jpg, C rolls the mud on the sand on the floor.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/48ca7acc-2b9c-46a9-ab11-be03bd1324d9_frame_136.jpg, C repairs
/home/radiance/ego4d_dealt_data/frame_output_dir_1/0919b674-ec6a-431d-8eec-12781b6d5775_frame_818.jpg, C turns around
/home/radiance/ego4d_dealt_data/frame_output_dir_1/25c59c93-11c5-4240-bbc3-c4dc74e6620c_frame_108.jpg, C picks the tool bag
/home/radiance/ego4d_dealt_data/frame_output_dir_1/f0a5b497-94d3-47ec-8bd6-427d91d15adf_frame_72.jpg, C drops the screwdriver on the table with his right hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/6bf10ae4-6d7f-4db0-8416-943c73573246_frame_326.jpg, The man B drops the card on the table.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/9ab7a4bd-533a-40da-9515-eb46f9354cbb_frame_763.jpg, man Y places the domino piece on the table
/home/radiance/ego4d_dealt_data/frame_output_dir_1/0e6fb738-05fc-4dd5-9746-a8e10efe8c20_frame_860.jpg, C pours the water in the container into another container
/home/radiance/ego4d_dealt_data/frame_output_dir_1/9e76e18e-0f8c-450b-8e78-59ae3dd4978b_frame_226.jpg, C paints the wall with a paint brush.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/eeebc440-cc85-4652-a354-48fdfb85c995_frame_178.jpg, C picks up a tube from the drawer with his right hand
/home/radiance/ego4d_dealt_data/frame_output_dir_1/c615d305-14fe-41cd-9099-caf420beb604_frame_145.jpg, C takes out a plastic pan from the pack with his right hand. #Unsure
/home/radiance/ego4d_dealt_data/frame_output_dir_1/fe1f9d74-2a66-418f-88e8-80a3f6dc6e9d_frame_4188.jpg, C holds the metal with both hands.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/804655d2-a621-40a1-9d32-2591d4c04309_frame_131.jpg, C turns the gear tooth with his left hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/b2cdc6c2-5ecc-4236-aae2-947cbf54fe49_frame_374.jpg, C dots the paper on the table with the pencil in his left hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/8123607c-721e-4331-aed8-a609b9bd9243_frame_130.jpg, C drops the sheet in the carton on the table.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/a82626d8-e1ce-4ba4-8aa8-71733d271795_frame_188.jpg, C picks a stone from the blue bucket with her right hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/0da40b72-99de-4da8-8a3b-a14c86cf74ad_frame_640.jpg, C pulls thread from the cotton wool
/home/radiance/ego4d_dealt_data/frame_output_dir_1/459bcec4-bca8-47be-9348-149bcdb08a43_frame_618.jpg, C plasters the wall with the concrete on the hand trowel in his right hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/e187d152-8068-4446-9c60-e40682e9fe5e_frame_247.jpg, C walks around
/home/radiance/ego4d_dealt_data/frame_output_dir_1/6b7e79ad-68c1-4637-a2d1-d7b8f92ac8a4_frame_65.jpg, c hangs the hanger on the pole
/home/radiance/ego4d_dealt_data/frame_output_dir_1/d1d1b6da-e7f8-48e7-9ee4-d8382582695a_frame_112.jpg, C puts phone down
/home/radiance/ego4d_dealt_data/frame_output_dir_1/647e6e71-8e0e-4d80-b9e7-f373368fc83a_frame_89.jpg, C moves chessman
/home/radiance/ego4d_dealt_data/frame_output_dir_1/8c8e2e9b-2c15-4dac-a4b2-16a3dda1eac4_frame_86.jpg, C closes the cupboard
/home/radiance/ego4d_dealt_data/frame_output_dir_1/d2e05761-29c4-4dd5-8ef6-027e40fea282_frame_777.jpg, C slides the polybag under the gas stove on the table with her hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/bbb1bf06-41f6-46e5-a051-3e75e724b2d7_frame_687.jpg, C looks around
/home/radiance/ego4d_dealt_data/frame_output_dir_1/949c5a8f-7aa7-4566-a04c-531961cbcc16_frame_109.jpg, C picks a brick close to the staircase with his right hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/55ef5db5-af7c-4ccd-9c7d-a4d415e195b7_frame_685.jpg, C picks food stuff from the nylon bag with his right hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/a02c4cbe-aa34-4807-96e8-cff20f0e5039_frame_2290.jpg, The Man Y holds the phone on the table with his right hand
/home/radiance/ego4d_dealt_data/frame_output_dir_1/719bf9c4-a216-4166-963b-80ece9f87a48_frame_13.jpg, C throws a dart on a dart board.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/10a848ed-f258-4930-abdd-1fd60b788abc_frame_136.jpg, a woman G walks around the field.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/63d5d643-d8e2-4293-b7d6-fb9c4657a12a_frame_804.jpg, C opens the car door.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/2eb4b0bf-624d-44e9-8a42-8374c9c623f0_frame_616.jpg, C places brake part down
/home/radiance/ego4d_dealt_data/frame_output_dir_1/62d470a8-df2b-4d64-beaa-fabbaea826d2_frame_55.jpg, C looks around the supermarket.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/dc306087-4841-4ae3-9136-0dc45716bb9b_frame_297.jpg, C picks up the steering knuckle
/home/radiance/ego4d_dealt_data/frame_output_dir_1/4fde0689-6bc3-49d4-8d54-bf4cfe0ad287_frame_72.jpg, C puts back the book
/home/radiance/ego4d_dealt_data/frame_output_dir_1/8d4895eb-b2d1-43b8-90f1-e80fcc37797b_frame_1907.jpg, The man E picks the jar of juice on the table with his right hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/2fa72a4f-b318-4e04-97b8-efdc3b039258_frame_57.jpg, C scrolls on the laptop
/home/radiance/ego4d_dealt_data/frame_output_dir_1/62abef54-29ef-43ec-ba1d-43496d986e89_frame_314.jpg, C walks towards the stack of concrete blocks on the ground.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/3328d2a7-5c80-4b9d-b3f6-9afdbcfc03cb_frame_44.jpg, C takes spanner from the tool box
/home/radiance/ego4d_dealt_data/frame_output_dir_1/4ce9f93b-f44c-46fe-9050-3452d2f39abb_frame_405.jpg, C lifts the bucket on the floor.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/8a431195-083a-4e07-a99d-28c2591beaef_frame_122.jpg, C puts   in the pot
/home/radiance/ego4d_dealt_data/frame_output_dir_1/2fb3b1d4-1360-4a95-931b-936b4b962a42_frame_12.jpg, C picks a rod from the workbench with his gloved right hand. #Unsure
/home/radiance/ego4d_dealt_data/frame_output_dir_1/4c642620-db0e-4096-9ece-2b2c6fdb47b0_frame_919.jpg, C cuts the dough in several pieces with the scraper
/home/radiance/ego4d_dealt_data/frame_output_dir_1/2970b84a-d6cf-4593-a487-53f853f0418f_frame_379.jpg, C serves the stew on a bowl
/home/radiance/ego4d_dealt_data/frame_output_dir_1/da5bebf7-d7d0-4a1f-aab4-72027b74eb01_frame_121.jpg, C removes a stick from the heap of stones
/home/radiance/ego4d_dealt_data/frame_output_dir_1/0e6fb738-05fc-4dd5-9746-a8e10efe8c20_frame_457.jpg, C drops the bowl on the kitchen table
/home/radiance/ego4d_dealt_data/frame_output_dir_1/12a6739e-7ff1-4427-ad12-ad5749693975_frame_321.jpg, C looses the thread on the cloth with her hand
/home/radiance/ego4d_dealt_data/frame_output_dir_1/ffbccef7-5084-42ef-9ca8-68faf94b42c7_frame_541.jpg, C holds the petri dish of agar with her left hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/3e057cdc-bf48-4090-81d6-b66bb18542e7_frame_3651.jpg, C cleans the gas cooker on the table with his right hand.
